ID_hecho,FECHA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,gen_bin,AAAA,MES,AÑO_FALLECIMIENTO,MES_FALLECIMIENTO
2016-0082,2016-06-27,PEATON,MASCULINO,87.0,2016-07-05,0.0,2016,6,2016.0,7.0
2016-0083,2016-06-28,PEATON,FEMENINO,76.0,2016-06-29,1.0,2016,6,2016.0,6.0
2016-0084,2016-06-29,PEATON,MASCULINO,57.0,2016-07-08,0.0,2016,6,2016.0,7.0
2016-0085,2016-06-29,SD,MASCULINO,,,0.0,2016,6,,
2016-0086,2016-06-30,PEATON,MASCULINO,75.0,2016-07-01,0.0,2016,6,2016.0,7.0
2016-0087,2016-07-03,CONDUCTOR,MASCULINO,23.0,2016-07-03,0.0,2016,7,2016.0,7.0
2016-0088,2016-07-11,PEATON,FEMENINO,70.0,2016-07-14,1.0,2016,7,2016.0,7.0
2016-0089,2016-07-14,PEATON,MASCULINO,35.0,2016-07-14,0.0,2016,7,2016.0,7.0
2016-0090,2016-07-14,PEATON,MASCULINO,60.0,2016-07-15,0.0,2016,7,2016.0,7.0
2016-0092,2016-07-15,CONDUCTOR,MASCULINO,24.0,2016-07-15,0.0,2016,7,2016.0,7.0
2016-0093,2016-07-17,CONDUCTOR,MASCULINO,35.0,2016-07-19,0.0,2016,7,2016.0,7.0
2016-0095,2016-07-23,CONDUCTOR,MASCULINO,29.0,2016-07-23,0.0,2016,7,2016.0,7.0
2016-0096,2016-07-25,CONDUCTOR,MASCULINO,,,0.0,2016,7,,
2016-0097,2016-07-26,PEATON,MASCULINO,80.0,2016-08-12,0.0,2016,7,2016.0,8.0
2016-0098,2016-07-27,CONDUCTOR,FEMENINO,43.0,,1.0,2016,7,,
2016-0099,2016-07-29,CONDUCTOR,MASCULINO,45.0,,0.0,2016,7,,
2016-0100,2016-08-03,CONDUCTOR,MASCULINO,57.0,2016-08-03,0.0,2016,8,2016.0,8.0
2016-0101,2016-08-07,SD,MASCULINO,67.0,,0.0,2016,8,,
2016-0102,2016-08-10,CONDUCTOR,MASCULINO,29.0,,0.0,2016,8,,
2016-0104,2016-08-14,CONDUCTOR,MASCULINO,21.0,2016-08-15,0.0,2016,8,2016.0,8.0
2016-0105,2016-08-17,PEATON,MASCULINO,19.0,2016-08-26,0.0,2016,8,2016.0,8.0
2016-0106,2016-08-19,PEATON,MASCULINO,38.0,,0.0,2016,8,,
2016-0107,2016-08-20,CONDUCTOR,MASCULINO,21.0,,0.0,2016,8,,
2016-0109,2016-08-24,CONDUCTOR,FEMENINO,53.0,2016-08-24,1.0,2016,8,2016.0,8.0
2016-0110,2016-08-24,PEATON,MASCULINO,57.0,,0.0,2016,8,,
2016-0111,2016-08-25,CONDUCTOR,MASCULINO,27.0,2016-08-25,0.0,2016,8,2016.0,8.0
2016-0112,2016-08-27,CONDUCTOR,MASCULINO,24.0,2016-08-27,0.0,2016,8,2016.0,8.0
2016-0113,2016-08-27,PEATON,FEMENINO,60.0,,1.0,2016,8,,
2016-0114,2016-08-31,CICLISTA,FEMENINO,55.0,2016-08-31,1.0,2016,8,2016.0,8.0
2016-0115,2016-09-02,SD,MASCULINO,,,0.0,2016,9,,
